20
30
20
30
3
4
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 0 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 0 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 0 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 0 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 0 ,Y= 11 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 12 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 0 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 0 ,Y= 15 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 0 ,Y= 17 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 0 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 1 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 1 ,Y= 2 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 1 ,Y= 5 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 1 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 1 ,Y= 11 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 1 ,Y= 12 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 1 ,Y= 13 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 1 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 1 ,Y= 15 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 1 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 1 ,Y= 17 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 1 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 1 ,Y= 19 ,Age= 0 ,Health= -1 )
